,nazwa ogloszenia,cena,opis,lokalizacja,pokoje,powierzchnia,rodzaj zabudowy,rynek,piętro,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,telefon,link,rok budowy
52,KAWALERKA w prestiżowym JustIN Center,570 000 zł,"Bezpośrednio od właściciela klimatyzowane jednopokojowe mieszkanie, zaledwie kilka kroków od Rynku. Idealne dla pary, singla lub jako inwestycja.
OPIS:
Mieszkanie znajduje się w samym centrum Wrocławia, w apartamentowcu Justin Center na ul. Krawieckiej 3, z recepcją, monitoringiem i ochroną.
30 metrów od niego położone są przystanki tramwajowe oraz autobusowe, obok Galeria Dominikańska, a kilka minut spacerem Rynek (około 400m)
Na parterze w budynku znajdują się sklepy spożywcze.
Rozwiązania architektoniczne z patio na drugim piętrze obiektu oraz najwyższej klasy materiały elewacyjne: kamień i szkło, czynią go ekskluzywnym i wyjątkowym.
Mieszkanie położone jest na 4 piętrze, 26,6 m2, składa się z: salonu z aneksem kuchennym, łazienki i przedpokoju.
W apartamencie jest pełne wyposażenie: pralka, wc, bidet, prysznic / piekarnik, lodówka, płyta kuchenna, telewizor, duże wygodne łóżko kontynentalne, szafka TV, stół i krzesła / na korytarzu szafa w zabudowie.
Obecnie obowiązuje umowa najmu, którą można wypowiedzieć lub kontynuować.
Do mieszkania przynależy miejsce postojowe w hali garażowej w dodatkowej cenie 75 tys. zł.","ul. Krawiecka 3, Stare Miasto, Stare Miasto, Wrocław, dolnośląskie",,"26,59 m²",apartamentowiec,wtórny,3/6,do zamieszkania,,garaż/miejsce parkingowe,608 682 278,https://www.otodom.pl/pl/oferta/kawalerka-w-prestizowym-justin-center-ID4oTbA,1969.0
53,,,,"Poświętne, Psie Pole, Wrocław, dolnośląskie",,,,,,,,,505 323 911,https://www.otodom.pl/pl/oferta/w-cenie-2-miejsca-w-garazu-i-komorka-antresola-ID4oTfs,1969.0
54,KAWALERKA w prestiżowym JustIn Center,670 000 zł,,"ul. Krawiecka 3, Stare Miasto, Stare Miasto, Wrocław, dolnośląskie",,,,,,,,,608 682 278,https://www.otodom.pl/pl/oferta/kawalerka-w-prestizowym-justin-center-ID4oTb7,1969.0
55,3-pokojowe mieszkanie / Różanka,590 000 zł,,"ul. Obornicka, Różanka, Psie Pole, Wrocław, dolnośląskie",,,,,,,,,512 014 031,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-rozanka-ID4oTdb,1969.0
56,Opis nieruchomości,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta
✅ Lokalizacja łącząca charakter zabytkowego centrum z bliskością Odry
✅ System „inteligentny dom” w mieszkaniach

Apartamenty nad Rzeką w skrócie
Inwestycja Apartamenty nad Rzeką to jeden budynek mieszkalny liczący 6 pięter, w którym znalazły się 144 mieszkania o powierzchniach od 30 do 131 m kw. W zależności od piętra, lokale mają od 262 do 322 cm wysokości, a do dyspozycji mieszkańców oddane zostaną także miejsca postojowe podziemne i naziemne.
Apartamenty nad Rzeką – lokalizacja
Głównym atutem inwestycji jest jedna z najlepszych wrocławskich lokalizacji, w samym sercu Wrocławia, blisko centrum zabytkowego, a zarazem tuż nad Odrą. Szybko można stąd dostać się do centrów biznesowych i kulturalnych Wrocławia, wybrać się do jednej z tutejszych klimatycznych restauracji, galerii sztuki, kina czy teatru. Kilka kroków od inwestycji znajdują się najpiękniejsze miejsca Wrocławia, jak Rynek, Stare Miasto, Ostrów Tumski czy bulwary nad Odrą.
Tereny zielone
Na drugim brzegu Odry, naprzeciwko Apartamentów nad Rzeką, w odległości 1,3 km znajduje się Park Mieszczański, a o 2 km oddalony jest Park im. Stanisława Staszica. Mieszkańcy inwestycji z pewnością będą także korzystać z uroków bulwarów nad Odrą rozciągających się dosłownie pod ich oknami.
Sklepy, punkty usługowe i gastronomiczne
O 240 metrów od inwestycji oddalony jest sklep sieci Kaufland, o 500 metrów sklep spożywczy Fortuna, a o 700 metrów – sklep Przystanek. Najbliższa Biedronka znajduje się w odległości 900 metrów, a Lidl – 1,7 km. Tuż przy inwestycji mieści się Bistro no 5. oraz restauracja Gastrom. Bliskość Starego Miasta i Rynku we Wrocławiu powodują, że można również wybrać się do jednej ze znajdujących się tam licznych restauracji czy kawiarni.
Komunikacja i transport publiczny
Najbliższy przystanek autobusowy – Długa – z którego odjeżdżają linie 128 i C oddalony jest o 300 metrów od inwestycji. W odległości 750 metrów mieści się stacja kolei regionalnych – Wrocław Szczepin.
Edukacja
W promieniu niespełna 2 km od inwestycji znajdują się trzy przedszkola. O 1,1 km oddalone są dwie szkoły podstawowe: prywatna i Zespół Szkół nr 18. Do najbliższego Liceum Ogólnokształcącego nr III im. Adama Mickiewicza jest 1,6 km, a do budynków Uniwersytetu Wrocławskiego – 1,9 km.
Rezerwacja i płatność
Wszystkie informacje dotyczące rezerwacji i płatności znajdą Państwo u dewelopera, polecamy kontakt przez formularz.","Stare Miasto,",3.0,"64,69 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-64m2-mzn2041581854,2024.0
57,Opis nieruchomości,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm","Psie Pole,",2.0,"50,20 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-50m2-mzn2042161230,2023.0
58,Opis nieruchomości,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm
W skrócie

Osiedle Zielna powstające w dzielnicy Psie Pole to kameralna inwestycja składającą się z jednego dwupiętrowego budynku wielorodzinnego, w którym znajdzie się łącznie 160 mieszkań. Mieszkańcy lokali na parterze będą mieli do swojej dyspozycji ogródki, natomiast lokatorzy 1 i 2 piętra – przestronne balkony. Na kameralnym osiedlu nie zabraknie atrakcyjnie zaaranżowanej przestrzeni wspólnej, w postaci małej architektury, nasadzeń kwiatowych, drzew i krzewów. Częścią inwestycji będzie duży zielony, wewnętrzny dziedziniec, gdzie mieścić się będzie plac zabaw oraz siłownia plenerowa. W ramach inwestycji przewidziano również podziemny garaż, komórki lokatorskie, schowki oraz rowerownię.

Lokalizacja

Osiedle Zielna powstaje na Psim Polu, przy ulicy Zielnej, która położona jest 6,7 km od centrum Wrocławia. Rozciągająca się w północnej części Wrocławia dzielnica Psie Pole zabudowana jest w dużej mierze przez osiedla domków jednorodzinnych i willi, a także trzy duże osiedla: Zakrzów, Psie Pole oraz Różanka. Na obrzeżach dzielnicy dominują tereny zielone, m.in. las Rędziński, Osobowicki i Sołtywicki. Największą arterią dzielnicy Psie Pole, łączącą zachodnią jej część ze wschodnią, jest ulica Jana Kasprowicza.

Tereny zielone

W odległości 260 metrów od inwestycji znajduje się park międzyosiedlowy z placem zabaw dla dzieci. Do parku przy ulicy Nadbrzeżnej w Zgorzelisku oddalonego o 1 km można dotrzeć spacerem w 13 minut. W odległości 2,8 km znajduje się park Małe Wilczyce, 2,7 km od osiedla – Park Jedności, a 6 km dzieli Osiedle Zielna od dzikich terenów spacerowych przy ujściu rzeki Dobrej do Widawy.

Sklepy, punkty usługowe i gastronomiczne

Najbliższy niewielki sklep spożywczy znajduje się tuż przy Osiedlu Zielna. W odległości 110 metrów położone są Delikatesy Gorlickie, w odległości 240 metrów – sklep max minimarket. Mieszkańcy Osiedla Zielna mają również blisko położoną przychodnię – 100 metrów od osiedla, przychodnię weterynaryjną – 100 m, restaurację z azjatycką kuchnią fusion (450 m), pub (550 m) czy halę targową Blaszak (500 m).

Komunikacja i transport publiczny

Najbliższy przystanek komunikacji miejskiej – Gorlicka – znajduje się 210 metrów od Osiedla Zielna. Dzięki niemu mieszkańcy osiedla mogą korzystać z dogodnych połączeń komunikacyjnych w dzielnicy Psie Pole – 6 linii autobusowych oraz 2 tramwajowych. We wschodniej części dzielnicy zlokalizowana jest stacja kolejowa, która również ułatwia dotarcie w inne części Wrocławia.

Edukacja

W bezpośrednim sąsiedztwie Osiedla Zielna znajdują się 3 placówki edukacyjne: publiczne przedszkole Columbus oddalone o 70 metrów, przedszkole nr 71 – oddalone o 520 metrów oraz Szkoła Podstawowa nr 6 zlokalizowana w odległości 230 metrów.

Rezerwacja i płatność

Po szczegóły zapraszamy do kontaktu przez formularz znajdujący się na dole strony.","Psie Pole,",2.0,"50,20 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-50m2-mzn2042161220,2023.0
59,Opis nieruchomości,,"Najważniejsze atuty
✅ Doskonała lokalizacja w centrum Wrocławia
✅ Elegancka i nowoczesna forma budynku wpisująca się w najnowsze trendy architektury
✅ Zielony wewnętrzny dziedziniec","Stare Miasto,",2.0,"38,48 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-braniborska-80-38m2-mzn2043178357,2024.0
60,Opis nieruchomości,,"Najważniejsze atuty
✅ Przyjazna okolica","Tarnogaj,",2.0,"38,86 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-miedzyleska-6b-38m2-mzn2042224104,2024.0
61,Opis nieruchomości,,"Apartamenty nad Oławką to nowa inwestycja premium w ofercie Dom Development, zlokalizowana tuż nad malowniczą rzeką Oławą – w otoczeniu bulwarów, Parku na Niskich Łąkach i Lasu Rakowieckiego. Nowoczesna architektura, eleganckie wnętrza, wysoka jakość materiałów oraz doskonała lokalizacja sprawiają, że jest to wyjątkowe miejsce na mapie Wrocławia.","Krzyki,",4.0,"71,41 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-krakowska-98-71m2-mzn2043185928,2025.0
62,Opis nieruchomości,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta","Stare Miasto,",3.0,"76,52 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-76m2-mzn2041581862,2024.0
63,Opis nieruchomości,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm","Psie Pole,",2.0,"50,06 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-50m2-mzn2042161245,2023.0
64,Opis nieruchomości,,"Najważniejsze atuty
✅ Przyjazna okolica","Tarnogaj,",3.0,"59,53 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-miedzyleska-6b-59m2-mzn2042224170,2024.0
65,Opis nieruchomości,,"Najważniejsze atuty:
✅ Spokojna, kameralna architektura
✅ Mieszkania w najbardziej poszukiwanych metrażach
✅ Bliskość terenów zielonych","Maślice,",2.0,"36,03 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-fabryczna-stodolna-36m2-mzn2042572793,2024.0
66,Opis nieruchomości,,"Apartamenty nad Oławką to nowa inwestycja premium w ofercie Dom Development, zlokalizowana tuż nad malowniczą rzeką Oławą – w otoczeniu bulwarów, Parku na Niskich Łąkach i Lasu Rakowieckiego. Nowoczesna architektura, eleganckie wnętrza, wysoka jakość materiałów oraz doskonała lokalizacja sprawiają, że jest to wyjątkowe miejsce na mapie Wrocławia.","Krzyki,",2.0,"39,48 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-krakowska-98-39m2-mzn2043185925,2025.0
67,Opis nieruchomości,,"Najważniejsze atuty
✅ Przyjazna okolica
✅ 2 minuty do przystanków tramwajowych i łatwy dojazd do głównych tras wylotowych z Wrocławia
✅ sąsiedztwo terenów zielonych w postaci parków Tarnogajskiego i Wschodniego
✅ Rozbudowana infrastruktura w najbliższej okolicy

Osiedle Międzyleska w skrócie
Inwestycja położona we wrocławskiej dzielnicy Tarnogaj, między parkami, zapewni ciszę i spokój przyszłym mieszkańcom. Bogata infrastruktura w pobliżu, a także bliskość terenów zielonych pozwala na komfortowe spędzanie każdego dnia. Atutem jest nowoczesna architektura osiedla i odpowiednie doświetlenie wnętrz dzięki dużym oknom. Lokale zostały zaplanowane tak, aby maksymalnie efektywnie wykorzystać dostępną przestrzeń mieszkalną. Przynależą do nich przestronne balkony, loggie lub zielone ogródki na parterze.
Osiedle Międzyleska – lokalizacja
Zlokalizowanie Osiedla Międzyleska we wrocławskiej dzielnicy Tarnogaj gwarantuje szereg korzyści, m.in. wygodne połączenia komunikacyjne z resztą miasta i możliwość sprawnego wyjazdu z Wrocławia, rozbudowaną infrastrukturę i okoliczne tereny zielone zachęcające do rekreacji.
Tereny zielone
W bliskim sąsiedztwie inwestycji znajdują się parki Tarnogajski oraz Wschodni oraz liczne ścieżki rowerowe pozwalające na przyjemne i aktywne spędzanie czasu na świeżym powietrzu.
Sklepy, punkty usługowe i gastronomiczne
Tuż obok osiedla znajduje się warzywniak oraz sklep z produktami regionalnymi i ekologicznymi Z pola i lasu. Najbliższa Biedronka oddalona jest o 2,1 km, Lidl – 2,5 km, Kaufland – 2,2 km. W pobliżu znajduje się także burgerownia i pizzeria.
Komunikacja i transport publiczny
O 400 metrów oddalone są od inwestycji przystanki tramwajowe pozwalające na szybkie połączenie z centrum oraz innymi częściami Wrocławia. 10 minut zajmuje jazda autem do Dworca Głównego, a 15 – do wrocławskiego Rynku. W pobliżu znajdują się główne arterie komunikacyjne miasta: aleja Armii Krajowej, ulica Bardzka i Krakowska pozwalające na sprawne poruszanie się po mieście, a wyjazd z niego umożliwia autostrada A4, do której można wyjątkowo szybko dojechać z tej lokalizacji.
Edukacja
O 750 metrów oddalone jest najbliższe przedszkole – Akademia Maluszka, o 1,3 km – Publiczne Przedszkole LOGICUS. Szkoła Podstawowa nr 99 im. Tadeusza Kościuszki znajduje się w odległości 1,3 km, a Liceum Ogólnokształcące – 2,8 km. Do najważniejszych uczelni wyższych we Wrocławiu jest ok. 4 km.
Rezerwacja i płatność
Wszystkie informacje dotyczące rezerwacji i płatności znajdą Państwo u dewelopera, polecamy kontakt przez formularz.","Tarnogaj,",3.0,"59,10 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-miedzyleska-6b-59m2-mzn2042224173,2024.0
68,Opis nieruchomości,,"Murapol Osiedle Ferrovia

Najważniejsze atuty
✅ Kameralne osiedle z dala od zgiełku miasta, a jednocześnie blisko serca Wrocławia","Krzyki,",5.0,"90,10 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-konduktorska-90m2-mzn2043091723,2025.0
69,Opis nieruchomości,,"Najważniejsze atuty:
✅ Spokojna, kameralna architektura
✅ Mieszkania w najbardziej poszukiwanych metrażach
✅ Bliskość terenów zielonych","Maślice,",2.0,"39,81 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-fabryczna-stodolna-39m2-mzn2042572796,2024.0
70,Opis nieruchomości,,"Najważniejsze atuty:
✅ Spokojna, kameralna architektura
✅ Mieszkania w najbardziej poszukiwanych metrażach
✅ Bliskość terenów zielonych","Maślice,",3.0,"64,57 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-fabryczna-stodolna-64m2-mzn2042572765,2024.0
71,Opis nieruchomości,,"Najważniejsze atuty
✅ Doskonała lokalizacja w centrum Wrocławia
✅ Elegancka i nowoczesna forma budynku wpisująca się w najnowsze trendy architektury
✅ Zielony wewnętrzny dziedziniec","Stare Miasto,",3.0,"58,74 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-braniborska-80-58m2-mzn2041858670,2024.0
72,Opis nieruchomości,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm","Psie Pole,",4.0,"69,51 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-69m2-mzn2041534211,2023.0
73,Opis nieruchomości,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta","Stare Miasto,",2.0,"41,69 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-41m2-mzn2041581882,2024.0
74,Opis nieruchomości,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta","Stare Miasto,",2.0,"44,01 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-44m2-mzn2041581870,2024.0
75,Opis nieruchomości,,"Najważniejsze atuty
✅ Doskonała lokalizacja w centrum Wrocławia
✅ Elegancka i nowoczesna forma budynku wpisująca się w najnowsze trendy architektury
✅ Zielony wewnętrzny dziedziniec","Stare Miasto,",3.0,"54,44 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-braniborska-80-54m2-mzn2041858669,2024.0
76,Opis nieruchomości,,"Murapol Osiedle Ferrovia

Najważniejsze atuty
✅ Kameralne osiedle z dala od zgiełku miasta, a jednocześnie blisko serca Wrocławia","Krzyki,",5.0,"90,10 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-konduktorska-90m2-mzn2043091729,2025.0
77,Opis nieruchomości,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta","Stare Miasto,",2.0,"50,44 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-50m2-mzn2041581857,2024.0
78,Opis nieruchomości,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm","Psie Pole,",3.0,"55,41 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-55m2-mzn2042161246,2023.0
79,Opis nieruchomości,,"Najważniejsze atuty
Mural podkreślający nowoczesny sznyt artystyczny osiedla
Każdy z budynków z zielonym dziedzińcem ze starannie zaplanowaną roślinnością i małą architekturą
Strefa coworking/playroom i plac zabaw ze ścieżką aktywności na osiedlu","Krzyki,",4.0,"83,16 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-beaty-artemskiej-83m2-mzn2041817506,2022.0
80,Opis nieruchomości,,"Najważniejsze atuty:
✅ Spokojna, kameralna architektura
✅ Mieszkania w najbardziej poszukiwanych metrażach
✅ Bliskość terenów zielonych","Maślice,",3.0,"53,51 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-fabryczna-stodolna-53m2-mzn2042572823,2024.0
81,Opis nieruchomości,,"Najważniejsze atuty:
✅ Spokojna, kameralna architektura
✅ Mieszkania w najbardziej poszukiwanych metrażach
✅ Bliskość terenów zielonych","Maślice,",2.0,"38,15 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-fabryczna-stodolna-38m2-mzn2042572822,2024.0
82,Opis nieruchomości,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm","Psie Pole,",3.0,"66,71 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-66m2-mzn2042161222,2023.0
83,Opis nieruchomości,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta","Stare Miasto,",2.0,"50,46 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-50m2-mzn2041581887,2024.0
84,Opis nieruchomości,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm","Psie Pole,",4.0,"72,96 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-72m2-mzn2042161227,2023.0
85,Opis nieruchomości,,"Apartamenty nad Oławką to nowa inwestycja premium w ofercie Dom Development, zlokalizowana tuż nad malowniczą rzeką Oławą – w otoczeniu bulwarów, Parku na Niskich Łąkach i Lasu Rakowieckiego. Nowoczesna architektura, eleganckie wnętrza, wysoka jakość materiałów oraz doskonała lokalizacja sprawiają, że jest to wyjątkowe miejsce na mapie Wrocławia.","Krzyki,",3.0,"61,23 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-krakowska-98-61m2-mzn2043185947,2025.0
86,Opis nieruchomości,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta","Stare Miasto,",1.0,"40,22 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-40m2-mzn2041581932,2024.0
87,Opis nieruchomości,,"Murapol Osiedle Ferrovia

Najważniejsze atuty
✅ Kameralne osiedle z dala od zgiełku miasta, a jednocześnie blisko serca Wrocławia","Krzyki,",5.0,"97,54 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-konduktorska-97m2-mzn2041415252,2025.0
88,Opis nieruchomości,,"Najważniejsze atuty
Mural podkreślający nowoczesny sznyt artystyczny osiedla
Każdy z budynków z zielonym dziedzińcem ze starannie zaplanowaną roślinnością i małą architekturą
Strefa coworking/playroom i plac zabaw ze ścieżką aktywności na osiedlu","Krzyki,",4.0,"83,16 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-beaty-artemskiej-83m2-mzn2041817493,2022.0
89,Opis nieruchomości,,"Najważniejsze atuty:
✅ Spokojna, kameralna architektura
✅ Mieszkania w najbardziej poszukiwanych metrażach
✅ Bliskość terenów zielonych","Maślice,",3.0,"58,78 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-fabryczna-stodolna-58m2-mzn2042572824,2024.0
90,Opis nieruchomości,,"Najważniejsze atuty
✅ Doskonała lokalizacja w centrum Wrocławia
✅ Elegancka i nowoczesna forma budynku wpisująca się w najnowsze trendy architektury
✅ Zielony wewnętrzny dziedziniec","Stare Miasto,",1.0,"31,57 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-braniborska-80-31m2-mzn2043178313,2024.0
91,Opis nieruchomości,,"Apartamenty nad Oławką to nowa inwestycja premium w ofercie Dom Development, zlokalizowana tuż nad malowniczą rzeką Oławą – w otoczeniu bulwarów, Parku na Niskich Łąkach i Lasu Rakowieckiego. Nowoczesna architektura, eleganckie wnętrza, wysoka jakość materiałów oraz doskonała lokalizacja sprawiają, że jest to wyjątkowe miejsce na mapie Wrocławia.","Krzyki,",2.0,"38,42 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-krakowska-98-38m2-mzn2043185940,2025.0
96,,,,,2.0,,,,,,False,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-50m2-mzn2041581887,
97,Opis nieruchomości,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta","Stare Miasto,",3.0,"64,69 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-64m2-mzn2041581854,2024.0
106,Opis nieruchomości,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm","Psie Pole,",2.0,"50,20 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-50m2-mzn2042161220,2023.0
115,Opis nieruchomości,,"Najważniejsze atuty
✅ Przyjazna okolica","Tarnogaj,",3.0,"59,10 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-miedzyleska-6b-59m2-mzn2042224173,2024.0
118,Opis nieruchomości,,"Murapol Osiedle Ferrovia

Najważniejsze atuty
✅ Kameralne osiedle z dala od zgiełku miasta, a jednocześnie blisko serca Wrocławia","Krzyki,",5.0,"89,76 m²",,,,,False,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-konduktorska-89m2-mzn2041497103,2025.0
150,Opis nieruchomości,,"Apartamenty nad Oławką to nowa inwestycja premium w ofercie Dom Development, zlokalizowana tuż nad malowniczą rzeką Oławą – w otoczeniu bulwarów, Parku na Niskich Łąkach i Lasu Rakowieckiego. Nowoczesna architektura, eleganckie wnętrza, wysoka jakość materiałów oraz doskonała lokalizacja sprawiają, że jest to wyjątkowe miejsce na mapie Wrocławia.
Lokalizacja jest jednym z największych atutów inwestycji Apartamenty nad Oławką:
• doskonale skomunikowana okolica – kilka przystanków tramwajowych i autobusowych w najbliższej okolicy
• szybki dojazd do centrum (2,5km)
• łatwy wyjazd z miasta dzięki bliskości Alei Wielkiej Wyspy
• bezpośrednie sąsiedztwo bulwarów nad Oławą
• bliska odległość Lasu Rakowieckiego i Parku na Niskich Łąkach
• widok na rzekę Oławę
• bogata oferta szkół i przedszkoli w najbliższym otoczeniu
• liczne punkty usługowe i centrum handlowe Famili Point","Krzyki,",2.0,"39,48 m²",,,,,True,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-krakowska-98-39m2-mzn2043185925,2025.0
213,Opis nieruchomości,,"Murapol Osiedle Ferrovia

Najważniejsze atuty
✅ Kameralne osiedle z dala od zgiełku miasta, a jednocześnie blisko serca Wrocławia","Krzyki,",5.0,"89,36 m²",,,,,False,,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-konduktorska-89m2-mzn2041497102,2025.0
